title,director,cast,genre,plot,release_date,slug,poster_filename,processed_plot,pre_genre,pre_director,pre_cast
Try and Get It,Cullen Tate,"Bryant Washburn, Billie Dove, Edward Everett Horton",,"As described in a film magazine review, [ 2 ] Larry Donovan, owner of a printing business, tells his credit manager Joe  Merrill that if he cannot collect a seven-year-old bill for $25.11 against Tim Perrin in a week, he is through. Donovan also tells Glenn Collins that if he does not get Perrin's account within a week, he is through, too. Both young men are thrown out of Perrin's cement yard. Joe goes to a modiste shop owned by Perrin, ready to park there until he receives payment. He makes various attempts to see Perrin, who finally beats him up and wrecks the shop. When Merrill wins the love of Perrin's daughter and, with her connivance, finally secures the payment of the bill, Perrin capitulates and offers him a job.","March 9, 1924 ( 1924-03-09 )",tt0015439,Try_and_Get_It_(1924)_-_1.jpg,describ film magazin review 2 larri donovan owner print busi tell credit manag joe merril collect sevenyearold bill 2511 tim perrin week donovan also tell glenn collin get perrin account within week young men thrown perrin cement yard joe goe modist shop own perrin readi park receiv payment make variou attempt see perrin final beat wreck shop merril win love perrin daughter conniv final secur payment bill perrin capitul offer job,,cullen tate,"['bryant washburn', 'billie dove', 'edward everett horton']"
Try Harder!,Debbie Lum,,"Try Harder! is a 2021 American documentary film, directed and produced by Debbie Lum . It follows students at Lowell High School as they apply and hope for admission to the college of their dreams.",Students at Lowell High School apply and hope for admission to the college of their dreams. [ 2 ],"January 30, 2021 ( 2021-01-30 ) ( Sundance ) December 3, 2021 ( 2021-12-03 )",tt13648160,Try_Harder!.jpg,student lowel high school appli hope admiss colleg dream 2,american documentary film directed,debbie lum,[]
Tsarevich Prosha,Nadezhda Kosheverova,"Sergey Martynov, Valeriy Zolotukhin, Tatyana Shestakova, Yevgeniy Tilicheev, Valeri Nosik",Tsarevich Prosha ( Russian : Царевич Проша ) is a 1974 Soviet children's fantasy film directed by Nadezhda Kosheverova . [ 1 ] [ 2 ] [ 3 ],"Tsarevich Prosh lives in one kingdom. Suddenly he had a wonderful dream and Prosh did not want to tell this dream to his father. The tsar did not like this, and he drove Prosh out of the kingdom. [ 4 ]",1974 ( 1974 ),tt0168231,,tsarevich prosh live one kingdom suddenli wonder dream prosh want tell dream father tsar like drove prosh kingdom 4,soviet childrens fantasy film,nadezhda kosheverova,"['sergey martynov', 'valeriy zolotukhin', 'tatyana shestakova', 'yevgeniy tilicheev', 'valeri nosik']"
Tsar Ivan the Terrible,Gennady Vasilyev,"Kakhi Kavsadze, Igor Talkov, Larisa Shakhvorostova, Stanislav Lyubshin, Andrey Martynov","Tsar Ivan the Terrible ( Russian : Царь Иван Грозный , romanized : Tsar Ivan Groznyy ) is a 1991 Soviet drama film directed by Gennady Vasilyev . [ 1 ] [ 2 ] [ 3 ] It is based on Alexey Tolstoy 's novel "" Prince Serebrenni ""","Upon returning to his homeland, Prince Serebryany discovers that during his absence, Tsar Ivan the Terrible has instituted the oppressive *oprichnina*, granting his oprichnik enforcers unchecked power to commit atrocities in the name of the crown. While traveling, Serebryany intervenes to protect peasants under attack from the oprichniki, also freeing two prisoners captured by bandits. Upon arriving in Moscow, he learns that his beloved Elena was forced into marriage with the disgraced old nobleman Druzina Morozov to escape the advances of the brutal oprichnik Prince Vyazemsky, who is consumed by unrequited love for her. Vyazemsky, in his desperation, resorts to sorcery to win her affection, consulting a miller reputed to practice dark magic. Meanwhile, Serebryany, expecting to face punishment for his defiance, appears before Ivan but is surprisingly spared due to the intercession of the tsar’s trusted advisors, Boris Godunov and Maxim Skuratov, the son of the feared oprichnik leader Maluta Skuratov. The tensions among Ivan’s inner circle deepen as Vyazemsky, Skuratov, and Fyodor Basmanov vie for power, weaving a web of accusations and betrayal. Vyazemsky, with the tacit approval of the tsar, attacks Morozov’s home, abducting Elena and assaulting her, but she escapes and seeks refuge in a convent. Basmanov, fearing his waning favor with the tsar, accuses Vyazemsky of practicing witchcraft to harm Ivan while secretly acquiring a protective talisman from the same sorcerer. Skuratov, in turn, implicates Basmanov in treachery, further stoking Ivan’s paranoia. Plagued by visions of his misdeeds and haunted by the memory of his late wife Anastasia, Ivan wavers between remorse and cruelty. Serebryany, arrested for attacking oprichniki, is freed by grateful outlaws who name him their leader. He convinces them to abandon banditry and join the fight against invading Tatars, ultimately achieving a hard-won victory in battle. Morozov, having survived Vyazemsky's assault, demands justice. Ivan decrees that the matter will be resolved through trial by combat, and Morozov's champion prevails. The tsar orders Vyazemsky’s execution, attributing to him the accusations of witchcraft. However, Ivan, unwilling to fully absolve Morozov, humiliates him by appointing him court jester. When Morozov openly condemns Ivan’s tyranny, he too is sentenced to death. Encouraged by Skuratov, the tsar also turns against Basmanov, sentencing him to execution, though his life is ultimately spared through the intervention of a holy fool. Meanwhile, Serebryany races to find Elena, only to discover that the trials she endured have led her to take monastic vows. Devastated, he is left in despair, while Ivan’s oppressive rule continues to cast a shadow over the land.",1991 ( 1991 ),tt0103134,,upon return homeland princ serebryani discov absenc tsar ivan terribl institut oppress oprichnina grant oprichnik enforc uncheck power commit atroc name crown travel serebryani interven protect peasant attack oprichniki also free two prison captur bandit upon arriv moscow learn belov elena forc marriag disgrac old nobleman druzina morozov escap advanc brutal oprichnik princ vyazemski consum unrequit love vyazemski desper resort sorceri win affect consult miller reput practic dark magic meanwhil serebryani expect face punish defianc appear ivan surprisingli spare due intercess tsar trust advisor bori godunov maxim skuratov son fear oprichnik leader maluta skuratov tension among ivan inner circl deepen vyazemski skuratov fyodor basmanov vie power weav web accus betray vyazemski tacit approv tsar attack morozov home abduct elena assault escap seek refug convent basmanov fear wane favor tsar accus vyazemski practic witchcraft harm ivan secretli acquir protect talisman sorcer skuratov turn implic basmanov treacheri stoke ivan paranoia plagu vision misde haunt memori late wife anastasia ivan waver remors cruelti serebryani arrest attack oprichniki freed grate outlaw name leader convinc abandon banditri join fight invad tatar ultim achiev hardwon victori battl morozov surviv vyazemski assault demand justic ivan decre matter resolv trial combat morozov champion prevail tsar order vyazemski execut attribut accus witchcraft howev ivan unwil fulli absolv morozov humili appoint court jester morozov openli condemn ivan tyranni sentenc death encourag skuratov tsar also turn basmanov sentenc execut though life ultim spare intervent holi fool meanwhil serebryani race find elena discov trial endur led take monast vow devast left despair ivan oppress rule continu cast shadow land,soviet drama film directed,gennady vasilyev,"['kakhi kavsadze', 'igor talkov', 'larisa shakhvorostova', 'stanislav lyubshin', 'andrey martynov']"
Tsar(film),Pavel Lungin,"Pyotr Mamonov, Oleg Yankovsky",,"The film is set between 1566 and 1569 during the era of the Oprichnina and the Livonian War . The film starts from the time when the Russian Orthodox Metropolitan Afanasii has died and Tsar Ivan IV has summoned his childhood friend, Hegumen Philip Kolychev of Solovetsky Monastery . The film is divided into four parts. The Tsar prays in his cell and asks the Lord to help him in his business. Meanwhile, Hegumen Philip arrives in Moscow, and on the way rescues a girl Masha, who is fleeing from a group of guardsmen. Receiving the Hegumen when he arrives, the Tsar invites him to become Metropolitan of Moscow, but Philip initially declines. The Hegumen meets his nephew, who is leaving for war and urges the Hegumen to flee from the Tsar, as those around him cannot survive. The Tsar returns to Philip, gives Masha an icon of the Mother of God , and persuades Hegumen Philip to become Metropolitan. Philip, witnessing the horrors being committed by the Oprichniki, urges the Tsar to show mercy to his enemies. Metropolitan Philip's nephew fights in a bloody battle against the Poles and Lithuanians at Polotsk. There is also Masha, who has escaped from the Tsar and brought the icon. Thanks to the icon, the bridge collapses under the Lithuanian cavalry. The governor of Polotsk returns to Moscow, but news arrives that the Lithuanian and Polish forces went around to the rear of the city and that the governor himself surrendered the town. The enraged Tsar desires to execute all the governor's men. Metropolitan Philip defends them, which also triggers the wrath of the Tsar. The governor is arrested, and Malyuta Skuratov brands his chest. The Tsar orders Metropolitan Philip to judge the governor, and the court convicts the governor's men of treason. Realizing that the defendants have been tortured into confessing, Metropolitan Philip refuses to sign the death warrant. Meanwhile, the Tsar prepares their execution: he pits them one on one against a bear . After killing two commanders, the bear attacks Philip's nephew. At this point, Masha runs into the arena with the icon and tries to stop the bear but is killed herself. Metropolitan Philip, horrified by the senseless brutality of the Tsar and seeing the futility of his attempts to persuade the Tsar to give up violence, enters the arena and picks up the icon. During a service at the Church, he refuses to bless the Tsar, who furiously strips the Metropolitan of his rank and forces him to watch the execution of his nephew on the rack. The Tsar decides to pardon Philip himself, but forever exiles him to a monastery, where he is treated as an ordinary prisoner, shackled and even deprived of water. Heinrich von Staden builds a ""torture camp"", which is planned to convene the people to festivals and watch the torture of prisoners. During the inspection, the Tsar's jester Vassian quotes the Book of Revelation , comparing the Tsar's wife Maria Temryukovna with the Whore of Babylon , for which the Tsar burns him at the stake. Meanwhile, in the monastery Philip's chains are supernaturally loosened, and he receives the gift of healing and foresight. He warns Archbishop Pimen that they will be blamed for his death. Philip encourages them to run and save themselves. However, the abbot, and almost all the monks stay with him. The Tsar arrives, but Philip again accuses him of horrific violence and refuses him a blessing. On the orders of the Tsar, Skuratov strangles Philip with his own hands. Despite the order to hand over Philip's corpse, the monks bury Philip in a wooden church and lock it; Skuratov's guardsmen burn the church with the monks inside. Final Scene: The Tsar waits for the beginning of his tortures. Despite the order to assemble, no one does. ""Where are my people?"" - asks the Tsar. Then, he prays the Jesus Prayer then again asks: ""Where are my people?""",May 2009 ( 2009-05 ),tt1424431,Tsar_movie_poster.jpg,film set 1566 1569 era oprichnina livonian war film start time russian orthodox metropolitan afanasii die tsar ivan iv summon childhood friend hegumen philip kolychev solovetski monasteri film divid four part tsar pray cell ask lord help busi meanwhil hegumen philip arriv moscow way rescu girl masha flee group guardsman receiv hegumen arriv tsar invit becom metropolitan moscow philip initi declin hegumen meet nephew leav war urg hegumen flee tsar around surviv tsar return philip give masha icon mother god persuad hegumen philip becom metropolitan philip wit horror commit oprichniki urg tsar show merci enemi metropolitan philip nephew fight bloodi battl pole lithuanian polotsk also masha escap tsar brought icon thank icon bridg collaps lithuanian cavalri governor polotsk return moscow news arriv lithuanian polish forc went around rear citi governor surrend town enrag tsar desir execut governor men metropolitan philip defend also trigger wrath tsar governor arrest malyuta skuratov brand chest tsar order metropolitan philip judg governor court convict governor men treason realiz defend tortur confess metropolitan philip refus sign death warrant meanwhil tsar prepar execut pit one one bear kill two command bear attack philip nephew point masha run arena icon tri stop bear kill metropolitan philip horrifi senseless brutal tsar see futil attempt persuad tsar give violenc enter arena pick icon servic church refus bless tsar furious strip metropolitan rank forc watch execut nephew rack tsar decid pardon philip forev exil monasteri treat ordinari prison shackl even depriv water heinrich von staden build tortur camp plan conven peopl festiv watch tortur prison inspect tsar jester vassian quot book revel compar tsar wife maria temryukovna whore babylon tsar burn stake meanwhil monasteri philip chain supernatur loosen receiv gift heal foresight warn archbishop pimen blame death philip encourag run save howev abbot almost monk stay tsar arriv philip accus horrif violenc refus bless order tsar skuratov strangl philip hand despit order hand philip corp monk buri philip wooden church lock skuratov guardsman burn church monk insid final scene tsar wait begin tortur despit order assembl one peopl ask tsar pray jesu prayer ask peopl,,pavel lungin,"['pyotr mamonov', 'oleg yankovsky']"
Truth or Dare(2018 film),Jeff Wadlow,"Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto, Landon Liboiron","Truth or Dare , also known as Blumhouse's Truth or Dare , [ 3 ] is a 2018 American supernatural horror film directed and co-written (alongside Michael Reisz , Jillian Jacobs, and Chris Roach) by Jeff Wadlow . The film stars Lucy Hale , Tyler Posey , Violett Beane , Hayden Szeto , Sophia Taylor Ali , and Landon Liboiron as a group of college students who play a game of truth or dare while on vacation in Mexico, only to realize it has deadly consequences if they do not follow through on their obligations. Jason Blum produced through his Blumhouse Productions banner, and Universal Pictures distributed the film.","Olivia Barron is a college student who always puts others' needs before her own. She plans to build houses with Habitat for Humanity over spring break , but her best friend, Markie Cameron, convinces her to join their friends in Mexico. At a bar, Olivia meets a man named Carter, who invites the group to party at an abandoned church. There, Carter suggests they play truth or dare . During the game, their friend Tyson Curran reveals that Olivia has a crush on Lucas Moreno, Markie's boyfriend, which she denies. Carter admits that he tricked them into playing a supernatural version of the game and warns them to do whatever the game asks or they will be killed. Back at school, hallucinations call on Olivia to pick truth or dare. She picks ""truth"" and blurts out that Markie has been serially unfaithful to Lucas. The friends learn that Ronnie, another friend, was forced to kill himself after failing to complete a dare. Lucas picks ""truth"" and admits to having feelings for Olivia. Markie is forced to break Olivia's hand, and their closeted friend, Brad Chang, is forced to tell his father he is gay. Tyson disbelieves the game's consequences and dies after lying during his turn. The group discovers a story online about a woman named Giselle Hammond who lit a woman on fire in Mexico while playing truth or dare. They arrange a meeting with her through social media . Giselle reveals that one of her friends, Sam Meehan, got drunk and trashed the church. When they got home, the game continued, and only she and Carter survived. Carter was dared to involve more players to give themselves more time before taking their turn again. It is then revealed that Giselle has been dared to kill Olivia and she attempts to shoot her, but Olivia's friend Penelope Amari dives in front and dies instead. Having failed her dare, Giselle is forced to kill herself. Olivia is dared to have sex with Lucas. During sex, Lucas is forced to admit that he cares about her but loves Markie. Olivia and Lucas drive to Tijuana and meet Inez Reyes, a former nun at the church who cannot speak. By writing on paper, Inez tells them how she summoned a demon named Calux to save herself from an abusive priest. However, Calux kept a game of truth or dare running and killed all her friends. She trapped Calux by ritually cutting off her tongue and sealing it in a pot. The group realizes Sam must have broken the pot and released Calux, and to trap him, they need to find him. Brad is dared to threaten his father with a gun. As he does so, he is shot and killed by an approaching officer. Olivia learns that Carter and Sam are the same person. She dares to speak the truth. Olivia tells the group that Markie's father sexually assaulted her, and he killed himself when she told him that Markie would be better off if he were dead. Though at first angry, hurt, and contemplating suicide, Markie forgives her friend and tells her it is not her fault because her father had previously been suicidal. Olivia, Markie, and Lucas find Sam and force him back to the ruined church. As Sam goes through the ritual to trap Calux, Lucas is dared to kill either Olivia or Markie. When he refuses, Calux possesses him and forces him to kill Sam and himself. When Markie's turn comes, Olivia tells her to refuse a dare. Calux possesses Markie, at which point Olivia forces Calux into the game by asking him to pick truth or dare. The demon is forced to tell the truth that there is no way they can make it out of the game alive with Sam dead. They will die unless they add more people to delay their next turn. Olivia uploads a video in which she briefly warns viewers about the game and its rules. She then asks ""truth or dare"", involving whoever hears the phrase into the game, delaying her and Markie's next turn.","April 13, 2018 ( 2018-04-13 ) (United States)",tt22756796,TruthorDarePoster.jpg,olivia barron colleg student alway put other need plan build hous habitat human spring break best friend marki cameron convinc join friend mexico bar olivia meet man name carter invit group parti abandon church carter suggest play truth dare game friend tyson curran reveal olivia crush luca moreno marki boyfriend deni carter admit trick play supernatur version game warn whatev game ask kill back school hallucin call olivia pick truth dare pick truth blurt marki serial unfaith luca friend learn ronni anoth friend forc kill fail complet dare luca pick truth admit feel olivia marki forc break olivia hand closet friend brad chang forc tell father gay tyson disbeliev game consequ die lie turn group discov stori onlin woman name gisel hammond lit woman fire mexico play truth dare arrang meet social medium gisel reveal one friend sam meehan got drunk trash church got home game continu carter surviv carter dare involv player give time take turn reveal gisel dare kill olivia attempt shoot olivia friend penelop amari dive front die instead fail dare gisel forc kill olivia dare sex luca sex luca forc admit care love marki olivia luca drive tijuana meet inez rey former nun church speak write paper inez tell summon demon name calux save abus priest howev calux kept game truth dare run kill friend trap calux ritual cut tongu seal pot group realiz sam must broken pot releas calux trap need find brad dare threaten father gun shot kill approach offic olivia learn carter sam person dare speak truth olivia tell group marki father sexual assault kill told marki would better dead though first angri hurt contempl suicid marki forgiv friend tell fault father previous suicid olivia marki luca find sam forc back ruin church sam goe ritual trap calux luca dare kill either olivia marki refus calux possess forc kill sam marki turn come olivia tell refus dare calux possess marki point olivia forc calux game ask pick truth dare demon forc tell truth way make game aliv sam dead die unless add peopl delay next turn olivia upload video briefli warn viewer game rule ask truth dare involv whoever hear phrase game delay marki next turn,american supernatural horror film,jeff wadlow,"['lucy hale', 'tyler posey', 'violett beane', 'hayden szeto', 'landon liboiron']"
Tsili,Amos Gitai,"Sarah Adler, Meshi Olinski, Lea Koenig, Adam Tsekhman, Andrey Kashkar",Tsili ( Hebrew : צילי ) is a 2014 Israeli drama film directed by Amos Gitai and based on the novel of the same name by Aharon Appelfeld . It was screened at the 71st Venice International Film Festival in an out of competition slot. [ 1 ],"In 1942, twelve-year-old Tsili is left behind by her family, who flee their village as the war arrives, entrusting her to guard their home. To survive, Tsili conceals her Jewish identity and leaves the village to search for food, finding work on farms where she endures exploitation and abuse for scraps of bread. After being beaten by some of her employers, she decides to escape to the mountains, hiding in the forests south of Czernowitz. In this war-torn landscape, Tsili builds a secluded refuge to evade the violence ravaging the valley below. Her hideout is eventually discovered by Marek, who speaks to her in Yiddish. Realizing they are both Jewish, they choose to stay together. One day, Marek heads to the village for supplies but never returns. As the war ends, Tsili leaves her refuge and encounters a group of survivors near the coast, all seeking a boat to take them to a new life.",1 September 2014 ( 2014-09-01 ) ( Venice ) 12 August 2015 ( 2015-08-12 ) (France),tt3966798,Tsili.jpg,1942 twelveyearold tsili left behind famili flee villag war arriv entrust guard home surviv tsili conceal jewish ident leav villag search food find work farm endur exploit abus scrap bread beaten employ decid escap mountain hide forest south czernowitz wartorn landscap tsili build seclud refug evad violenc ravag valley hideout eventu discov marek speak yiddish realiz jewish choos stay togeth one day marek head villag suppli never return war end tsili leav refug encount group survivor near coast seek boat take new life,israeli drama film directed,amos gitai,"['sarah adler', 'meshi olinski', 'lea koenig', 'adam tsekhman', 'andrey kashkar']"
Tsunami(2021 film),Lal Lal Jr.,"Balu Varghese, Innocent, Mukesh, Aju Varghese, Suresh Krishna",,"Bobby is a young man who goes to a seminary in Goa to become a priest, despite his family opposing it. But during his journey he ends up going to the bathroom while the bus stops for a break and by chance happen to enter a ladies toilet. Anna, a girl comes and opens the door when he had taken off his pants leaving the girl and Bobby both scared. Her relatives take her from there seeing her scared and shouting while her mother returns to the bathroom to see Bobby hiding his face and running from there. She pursue him to beat him up but he outrun her. Feeling sad, he ends up not going to seminary and return home. Bobby decided to marry Anna. Then the family decides to get him married according to their wishes. But the effect of the events of that journey do not leave him and he ends up in trouble after marriage.",11 March 2021 ( 2021-03-11 ),tt13269124,Tsunami-Malayalam-2021.jpg,bobbi young man goe seminari goa becom priest despit famili oppos journey end go bathroom bu stop break chanc happen enter ladi toilet anna girl come open door taken pant leav girl bobbi scare rel take see scare shout mother return bathroom see bobbi hide face run pursu beat outrun feel sad end go seminari return home bobbi decid marri anna famili decid get marri accord wish effect event journey leav end troubl marriag,,lal lal jr.,"['balu varghese', 'innocent', 'mukesh', 'aju varghese', 'suresh krishna']"
Tubby the Tuba(1975 film),Alexander Schure,"Dick Van Dyke, Pearl Bailey, Ruth Enders, Jack Gilford, Hermione Gingold",,A young tuba named Tubby sets off on a quest to find a song of his own. He visits a circus and ventures into the forest while on the way to Singing City. [ 2 ],"April 1, 1975 ( 1975-04-01 )",tt0253848,Tubby_the_Tuba_Film_Poster.jpg,young tuba name tubbi set quest find song visit circu ventur forest way sing citi 2,,alexander schure,"['dick van dyke', 'pearl bailey', 'ruth enders', 'jack gilford', 'hermione gingold']"
TT3D: Closer to the Edge,Richard De Aragues,"Guy Martin, Ian Hutchinson",,"The film charts the build up to the 2010 races, and then documents each of the races and their results. These take place along public roads through the Isle of Man , covering 37.73 miles of terrain, and packed with thousands of spectators who have come from all over the world. Using 3D technology, Closer to the Edge captures the 2010 races and attempts to show what motivates the racers. The film features several racers, including Guy Martin , John McGuinness , Conor Cummins , and Ian Hutchinson . McGuinness is the most successful living TT rider, having won the TT fifteen times. In 2009 Hutchinson won two TT's in one day, another road race, the North West 200 , in Northern Ireland as well as competing every week at the top of the British Superstock Championship . The film reveals how, for more than 100 years, riders have come to the Isle of Man to compete. The narration suggests that the TT has always called for a commitment far beyond any other racing event, and since the race began over 200 people have died in the races. The second half of the film introduces Bridget Dobbs, mother of two and widow of Paul Dobbs (""Dobsy"") who died in the 2010 races. Bridget understands and accepts that her husband, like many others , died doing something he loved. Despite the near fatal injuries, the film shows how those that survive all want to go back and do it again.",22 April 2011 ( 2011-04-22 ),tt1698010,TT3D_Closer_to_the_Edge.jpg,film chart build 2010 race document race result take place along public road isl man cover 3773 mile terrain pack thousand spectat come world use 3d technolog closer edg captur 2010 race attempt show motiv racer film featur sever racer includ guy martin john mcguin conor cummin ian hutchinson mcguin success live tt rider tt fifteen time 2009 hutchinson two tt one day anoth road race north west 200 northern ireland well compet everi week top british superstock championship film reveal 100 year rider come isl man compet narrat suggest tt alway call commit far beyond race event sinc race began 200 peopl die race second half film introduc bridget dobb mother two widow paul dobb dobsi die 2010 race bridget understand accept husband like mani other die someth love despit near fatal injuri film show surviv want go back,,richard de aragues,"['guy martin', 'ian hutchinson']"
